likely,8
on,8
incredibly,8
fellow,7
horrible,7
weak,7
male,7
overall,7
main,7
far-right,7
glad,7
genuine,7
need,7
hot,7
mental,7
hs,7
video,7
pure,7
n2,7
french,7
single,7
rival,7
iconic,7
smart,7
joke,7
annoy,7
secure,7
hail,7
figure,7
wont,7
honor,7
praise,7
witness,7
cross,7
dominate,7
adapt,7
cause,7
hes,7
twitter,7
target,7
park,7
star,7
gt,7
trade,7
scout,7
push,7
challenge,7
nby,7
resume,7
recruit,7
invent,7
compete,7
commit,7
donate,7
sing,7
avoid,7
sound,7
injure,7
encourage,7
over,7
hopefully,7
meanwhile,7
in,7
alone,7
commercial,6
large,6
u17,6
chief,6
cant,6
australian,6
ok,6
sick,6
offensive,6
usual,6
brazilian,6
excited,6
clear,6
clueless,6
hes,6
awful,6
odd,6
similar,6
wild,6
tired,6
assistant,6
popular,6
youre,6
all-time,6
physical,6
wonderful,6
injured,6
gaelic,6
tactical,6
teenage,6
os,6
impressive,6
cool,6
remove,6
drive,6
theres,6
increase,6
prepare,6
refer,6
attract,6
urge,6
wrestle,6
abuse,6
touch,6
note,6
regard,6
dress,6
underrate,6
cost,6
dedicate,6
answer,6
apologise,6
sport,6
achieve,6
transfer,6
inspire,6
hand,6
draft,6
retain,6
shape,6
delight,6
carry,6
perform,6
rest,6
line,6
switch,6
notice,6
youre,6
introduce,6
hang,6
recover,6
disappoint,6
force,6
reflect,6
knock,6
select,6
prefer,6
determine,6
troll,6
highlight,6
jump,6
practice,6
scare,6
hardly,6
hard,6
s,6
regardless,6
apart,6
arguably,6
little,6
some,6
unbelievable,5
fast,5
forward,5
angry,5
indoors,5
outside,5
big,5
negative,5
utd,5
pointless,5
religious,5
paid,5
disappointing,5
famous,5
impossible,5
outstanding,5
heavy,5
loving,5
pe,5
classic,5
safe,5
junior,5
embarrassing,5
very,5
talented,5
full-time,5
ole,5
curious,5
mean,5
lucky,5
rich,5
controversial,5
dave,5
fresh,5
solid,5
historic,5
obvious,5
near,5
irrelevant,5
south,5
original,5
nstep,5
spike,5
react,5
seek,5
drink,5
fly,5
entertain,5
generate,5
withdraw,5
channel,5
represent,5
embrace,5
express,5
describe,5
require,5
condemn,5
expose,5
rate,5
chase,5
steal,5
swap,5
promise,5
own,5
convince,5
grab,5
confuse,5
whats,5
handle,5
apply,5
respond,5
trend,5
launch,5
insist,5
ai,5
gon,5
guarantee,5
record,5
pray,5
debate,5
recommend,5
combine,5
outline,5
act,5
game,5
investigate,5
trust,5
recognize,5
admire,5
judge,5
gain,5
closer,5
worse,5
either,5
indeed,5
perhaps,5
easily,5
constantly,5
earlier,5
officially,5
further,5
eventually,5
nope,5
late,5
this,5
everywhere,5
early,5
